"Statistic","Year","County and Region","UNIT","VALUE"
"Index of Total Income per Person","2009","Laois","State=100","93.7"
"Index of Total Income per Person","2009","Longford","State=100","87.1"
"Index of Total Income per Person","2009","Offaly","State=100","83.6"
"Index of Total Income per Person","2009","Westmeath","State=100","89.2"
"Index of Total Income per Person","2010","State","State=100","100"
"Index of Total Income per Person","2010","Northern and Western","State=100","89.4"
"Index of Total Income per Person","2010","Border","State=100","84.4"
"Index of Total Income per Person","2010","Leitrim","State=100","94.4"
"Index of Total Income per Person","2010","Sligo","State=100","90.7"
"Index of Total Income per Person","2010","Cavan","State=100","92.1"
"Index of Total Income per Person","2010","Donegal","State=100","77.7"
"Index of Total Income per Person","2010","Monaghan","State=100","81.5"
"Index of Total Income per Person","2010","West","State=100","93.9"
"Index of Total Income per Person","2010","Galway","State=100","98.6"
"Index of Total Income per Person","2010","Mayo","State=100","87.6"
"Index of Total Income per Person","2010","Roscommon","State=100","89.4"
"Index of Total Income per Person","2010","Southern","State=100","95.6"
"Index of Total Income per Person","2010","Mid-West","State=100","96.2"
"Index of Total Income per Person","2010","Clare","State=100","94.9"
"Index of Total Income per Person","2010","Limerick","State=100","99.7"
"Index of Total Income per Person","2010","Tipperary","State=100","92.9"
"Index of Total Income per Person","2010","South-East","State=100","92.5"
"Index of Total Income per Person","2010","Carlow","State=100","91.8"
"Index of Total Income per Person","2010","Kilkenny","State=100","89.5"
"Index of Total Income per Person","2010","Wexford","State=100","94.8"
"Index of Total Income per Person","2010","Waterford","State=100","92.5"
"Index of Total Income per Person","2010","South-West","State=100","97"
"Index of Total Income per Person","2010","Cork","State=100","100.7"
"Index of Total Income per Person","2010","Kerry","State=100","84.3"
"Index of Total Income per Person","2010","Eastern and Midland","State=100","107.1"
"Index of Total Income per Person","2010","Dublin","State=100","114.6"
"Index of Total Income per Person","2010","Mid-East","State=100","101.1"
"Index of Total Income per Person","2010","Kildare","State=100","104.6"
"Index of Total Income per Person","2010","Louth","State=100","94.6"
"Index of Total Income per Person","2010","Meath","State=100","105.5"
"Index of Total Income per Person","2010","Wicklow","State=100","96.4"
"Index of Total Income per Person","2010","Midland","State=100","87.6"
"Index of Total Income per Person","2010","Laois","State=100","91.7"
"Index of Total Income per Person","2010","Longford","State=100","86.4"
"Index of Total Income per Person","2010","Offaly","State=100","81.9"
"Index of Total Income per Person","2010","Westmeath","State=100","89.9"
"Index of Total Income per Person","2011","State","State=100","100"
"Index of Total Income per Person","2011","Northern and Western","State=100","86.9"
"Index of Total Income per Person","2011","Border","State=100","83.3"
"Index of Total Income per Person","2011","Leitrim","State=100","90.7"
"Index of Total Income per Person","2011","Sligo","State=100","90.6"
"Index of Total Income per Person","2011","Cavan","State=100","85.1"
"Index of Total Income per Person","2011","Donegal","State=100","77.3"
"Index of Total Income per Person","2011","Monaghan","State=100","85.6"
"Index of Total Income per Person","2011","West","State=100","90"
"Index of Total Income per Person","2011","Galway","State=100","92.6"
"Index of Total Income per Person","2011","Mayo","State=100","87.2"
"Index of Total Income per Person","2011","Roscommon","State=100","85.5"
"Index of Total Income per Person","2011","Southern","State=100","95.8"
"Index of Total Income per Person","2011","Mid-West","State=100","99.7"
"Index of Total Income per Person","2011","Clare","State=100","90.8"
"Index of Total Income per Person","2011","Limerick","State=100","110.7"
"Index of Total Income per Person","2011","Tipperary","State=100","92.9"
"Index of Total Income per Person","2011","South-East","State=100","89.7"
"Index of Total Income per Person","2011","Carlow","State=100","91.7"
"Index of Total Income per Person","2011","Kilkenny","State=100","88.5"
"Index of Total Income per Person","2011","Wexford","State=100","87.1"
"Index of Total Income per Person","2011","Waterford","State=100","93"
"Index of Total Income per Person","2011","South-West","State=100","96.8"
"Index of Total Income per Person","2011","Cork","State=100","99.8"
"Index of Total Income per Person","2011","Kerry","State=100","85.8"
"Index of Total Income per Person","2011","Eastern and Midland","State=100","107.9"
"Index of Total Income per Person","2011","Dublin","State=100","117.4"
"Index of Total Income per Person","2011","Mid-East","State=100","98.8"
"Index of Total Income per Person","2011","Kildare","State=100","102.8"
"Index of Total Income per Person","2011","Louth","State=100","91.3"
"Index of Total Income per Person","2011","Meath","State=100","98.2"
"Index of Total Income per Person","2011","Wicklow","State=100","99.9"
"Index of Total Income per Person","2011","Midland","State=100","86.4"
"Index of Total Income per Person","2011","Laois","State=100","88.7"
"Index of Total Income per Person","2011","Longford","State=100","84.3"
"Index of Total Income per Person","2011","Offaly","State=100","82.3"
"Index of Total Income per Person","2011","Westmeath","State=100","88.8"
"Index of Total Income per Person","2012","State","State=100","100"
"Index of Total Income per Person","2012","Northern and Western","State=100","86.2"
"Index of Total Income per Person","2012","Border","State=100","81.3"
"Index of Total Income per Person","2012","Leitrim","State=100","89.3"
"Index of Total Income per Person","2012","Sligo","State=100","91.3"
"Index of Total Income per Person","2012","Cavan","State=100","84.1"
"Index of Total Income per Person","2012","Donegal","State=100","75.3"
"Index of Total Income per Person","2012","Monaghan","State=100","79.3"
"Index of Total Income per Person","2012","West","State=100","90.5"
"Index of Total Income per Person","2012","Galway","State=100","94"
"Index of Total Income per Person","2012","Mayo","State=100","86.7"
"Index of Total Income per Person","2012","Roscommon","State=100","84.6"
"Index of Total Income per Person","2012","Southern","State=100","95.2"
"Index of Total Income per Person","2012","Mid-West","State=100","98.2"
"Index of Total Income per Person","2012","Clare","State=100","90.6"
"Index of Total Income per Person","2012","Limerick","State=100","108.9"
"Index of Total Income per Person","2012","Tipperary","State=100","90.8"
"Index of Total Income per Person","2012","South-East","State=100","89.3"
"Index of Total Income per Person","2012","Carlow","State=100","90.9"
"Index of Total Income per Person","2012","Kilkenny","State=100","88.1"
"Index of Total Income per Person","2012","Wexford","State=100","86.5"
"Index of Total Income per Person","2012","Waterford","State=100","93"
"Index of Total Income per Person","2012","South-West","State=100","96.7"
"Index of Total Income per Person","2012","Cork","State=100","99.6"
"Index of Total Income per Person","2012","Kerry","State=100","86.4"
"Index of Total Income per Person","2012","Eastern and Midland","State=100","108.6"
"Index of Total Income per Person","2012","Dublin","State=100","118.7"
"Index of Total Income per Person","2012","Mid-East","State=100","98.8"
"Index of Total Income per Person","2012","Kildare","State=100","103.3"
"Index of Total Income per Person","2012","Louth","State=100","90.2"
"Index of Total Income per Person","2012","Meath","State=100","98.5"
"Index of Total Income per Person","2012","Wicklow","State=100","100.3"
"Index of Total Income per Person","2012","Midland","State=100","85.6"
"Index of Total Income per Person","2012","Laois","State=100","87"
"Index of Total Income per Person","2012","Longford","State=100","84.7"
"Index of Total Income per Person","2012","Offaly","State=100","81.4"
"Index of Total Income per Person","2012","Westmeath","State=100","88.5"
"Index of Total Income per Person","2013","State","State=100","100"
"Index of Total Income per Person","2013","Northern and Western","State=100","84.2"
"Index of Total Income per Person","2013","Border","State=100","80.2"
"Index of Total Income per Person","2013","Leitrim","State=100","87.4"
"Index of Total Income per Person","2013","Sligo","State=100","90"
"Index of Total Income per Person","2013","Cavan","State=100","83.8"
"Index of Total Income per Person","2013","Donegal","State=100","73.3"
"Index of Total Income per Person","2013","Monaghan","State=100","79.6"
"Index of Total Income per Person","2013","West","State=100","87.7"
"Index of Total Income per Person","2013","Galway","State=100","91.2"
"Index of Total Income per Person","2013","Mayo","State=100","83.9"
"Index of Total Income per Person","2013","Roscommon","State=100","81.7"
"Index of Total Income per Person","2013","Southern","State=100","95.8"
"Index of Total Income per Person","2013","Mid-West","State=100","98"
"Index of Total Income per Person","2013","Clare","State=100","87.9"
"Index of Total Income per Person","2013","Limerick","State=100","106.3"
"Index of Total Income per Person","2013","Tipperary","State=100","95.5"
"Index of Total Income per Person","2013","South-East","State=100","90.8"
"Index of Total Income per Person","2013","Carlow","State=100","91.4"
"Index of Total Income per Person","2013","Kilkenny","State=100","92.4"
"Index of Total Income per Person","2013","Wexford","State=100","87.6"
"Index of Total Income per Person","2013","Waterford","State=100","93.2"
"Index of Total Income per Person","2013","South-West","State=100","97.3"
"Index of Total Income per Person","2013","Cork","State=100","101"
"Index of Total Income per Person","2013","Kerry","State=100","84.1"
"Index of Total Income per Person","2013","Eastern and Midland","State=100","108.9"
"Index of Total Income per Person","2013","Dublin","State=100","119.9"
