"Statistic","Year","Type of Dwelling","Region and County","UNIT","VALUE"
"Average Floor Area per Unit","1990","One off houses","Kildare","Sq Metres",""
"Average Floor Area per Unit","1990","One off houses","Louth","Sq Metres",""
"Average Floor Area per Unit","1990","One off houses","Meath","Sq Metres",""
"Average Floor Area per Unit","1990","One off houses","Wicklow","Sq Metres",""
"Average Floor Area per Unit","1990","One off houses","Midland","Sq Metres",""
"Average Floor Area per Unit","1990","One off houses","Laois","Sq Metres",""
"Average Floor Area per Unit","1990","One off houses","Longford","Sq Metres",""
"Average Floor Area per Unit","1990","One off houses","Offaly","Sq Metres",""
"Average Floor Area per Unit","1990","One off houses","Westmeath","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","State","Sq Metres","64.3"
"Average Floor Area per Unit","1990","Private flats/apartments","Northern and Western","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Border","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Leitrim","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Sligo","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Cavan","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Donegal","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Monaghan","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","West","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Galway","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Galway City","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Mayo","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Roscommon","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Southern","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Mid-West","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Clare","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Limerick","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Tipperary","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","South-East","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Carlow","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Kilkenny","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Wexford","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Waterford","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","South-West","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Cork","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Cork City","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Kerry","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Eastern and Midland","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Dublin","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Dublin City","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","South Dublin","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Fingal","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Dun Laoghaire - Rathdown","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Mid-East","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Kildare","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Louth","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Meath","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Wicklow","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Midland","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Laois","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Longford","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Offaly","Sq Metres",""
"Average Floor Area per Unit","1990","Private flats/apartments","Westmeath","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","State","Sq Metres","126.6"
"Average Floor Area per Unit","1991","Houses","Northern and Western","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Border","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Leitrim","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Sligo","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Cavan","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Donegal","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Monaghan","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","West","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Galway","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Galway City","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Mayo","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Roscommon","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Southern","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Mid-West","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Clare","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Limerick","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Tipperary","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","South-East","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Carlow","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Kilkenny","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Wexford","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Waterford","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","South-West","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Cork","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Cork City","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Kerry","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Eastern and Midland","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Dublin","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Dublin City","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","South Dublin","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Fingal","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Dun Laoghaire - Rathdown","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Mid-East","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Kildare","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Louth","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Meath","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Wicklow","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Midland","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Laois","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Longford","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Offaly","Sq Metres",""
"Average Floor Area per Unit","1991","Houses","Westmeath","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","State","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Northern and Western","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Border","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Leitrim","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Sligo","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Cavan","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Donegal","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Monaghan","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","West","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Galway","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Galway City","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Mayo","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Roscommon","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Southern","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Mid-West","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Clare","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Limerick","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Tipperary","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","South-East","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Carlow","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Kilkenny","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Wexford","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Waterford","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","South-West","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Cork","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Cork City","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Kerry","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Eastern and Midland","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Dublin","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Dublin City","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","South Dublin","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Fingal","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Dun Laoghaire - Rathdown","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Mid-East","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Kildare","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Louth","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Meath","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Wicklow","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Midland","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Laois","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Longford","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Offaly","Sq Metres",""
"Average Floor Area per Unit","1991","Multi development houses","Westmeath","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","State","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","Northern and Western","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","Border","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","Leitrim","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","Sligo","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","Cavan","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","Donegal","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","Monaghan","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","West","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","Galway","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","Galway City","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","Mayo","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","Roscommon","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","Southern","Sq Metres",""
"Average Floor Area per Unit","1991","One off houses","Mid-West","Sq Metres",""
